time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_W,sim_dBm
1760541659.681862,2025-10-15 17:20:59,46.008357,-62.1958372,-66.1492187,-62.1983883,-62.1958372,-66.1492187,-62.1983883,7.66270261609897,38.84381971231573
1760541659.691864,2025-10-15 17:20:59,46.018358,-62.1958372,-66.1492187,-62.1983883,-62.1958372,-66.1492187,-62.1983883,7.665520135306967,38.84541628757212
1760541659.740373,2025-10-15 17:20:59,46.066867,-62.1958372,-66.1085139,-62.1983883,-62.1958372,-66.1085139,-62.1983883,7.679114529477076,38.85311144884057
1760541659.743372,2025-10-15 17:20:59,46.069867,-62.2223839,-66.1085139,-62.174471,-62.2223839,-66.1085139,-62.174471,7.679932202726336,38.85357386162788
1760541659.777879,2025-10-15 17:20:59,46.104374,-62.2223839,-65.9060273,-62.174471,-62.2223839,-65.9060273,-62.174471,7.689325780059798,38.8588826140918
1760541659.780879,2025-10-15 17:20:59,46.107373,-62.2109241,-65.9060273,-62.174471,-62.2109241,-65.9060273,-62.174471,7.690126349937067,38.859334753839626
1760541659.791881,2025-10-15 17:20:59,46.118375,-62.2109241,-65.9060273,-62.1691254,-62.2109241,-65.9060273,-62.1691254,7.693058619825698,38.86099041701992
1760541659.827396,2025-10-15 17:20:59,46.153890,-62.2109241,-65.7861559,-62.1691254,-62.2109241,-65.7861559,-62.1691254,7.702468055432751,38.86629905836359
1760541659.831394,2025-10-15 17:20:59,46.157888,-62.1966809,-65.7861559,-62.1691254,-62.1966809,-65.7861559,-62.1691254,7.703506154293251,38.86688433859492
1760541659.842394,2025-10-15 17:20:59,46.168888,-62.1966809,-65.7861559,-62.1828057,-62.1966809,-65.7861559,-62.1828057,7.706356195853595,38.8684907868666
1760541659.876903,2025-10-15 17:20:59,46.203398,-62.1966809,-65.9329588,-62.1828057,-62.1966809,-65.9329588,-62.1828057,7.7152443623287965,38.87349685879443
1760541659.881901,2025-10-15 17:20:59,46.208395,-62.1779288,-65.9329588,-62.1828057,-62.1779288,-65.9329588,-62.1828057,7.71650659191172,38.87420731523662
1760541659.909432,2025-10-15 17:20:59,46.235927,-62.1779288,-65.9329588,-62.174735,-62.1779288,-65.9329588,-62.174735,7.723441965901556,38.87810887597695
1760541659.923437,2025-10-15 17:20:59,46.249931,-62.1779288,-65.9948077,-62.174735,-62.1779288,-65.9948077,-62.174735,7.7269153492541,38.880061544408086
1760541659.931431,2025-10-15 17:20:59,46.257925,-62.1750285,-65.9948077,-62.174735,-62.1750285,-65.9948077,-62.174735,7.728882565451859,38.88116708570557
1760541659.960939,2025-10-15 17:20:59,46.287433,-62.1750285,-65.9948077,-62.1636953,-62.1750285,-65.9948077,-62.1636953,7.7361129172660705,38.88522800137468
1760541659.972945,2025-10-15 17:20:59,46.299440,-62.1750285,-66.057773,-62.1636953,-62.1750285,-66.057773,-62.1636953,7.739006119486927,38.886851900707796
1760541659.989949,2025-10-15 17:20:59,46.316444,-62.1623477,-66.057773,-62.1636953,-62.1623477,-66.057773,-62.1636953,7.743076431491121,38.88913546182169
1760541660.007458,2025-10-15 17:21:00,46.333953,-62.1623477,-66.057773,-62.1663592,-62.1623477,-66.057773,-62.1663592,7.747227973692161,38.891463359150634
1760541660.023458,2025-10-15 17:21:00,46.349953,-62.1623477,-70.8184825,-62.1663592,-62.1623477,-70.8184825,-62.1663592,7.750984708488283,38.89356880092943
1760541660.052462,2025-10-15 17:21:00,46.378956,-62.1639002,-70.8184825,-62.1663592,-62.1639002,-70.8184825,-62.1663592,7.757734613776007,38.89734918632942
1760541660.059459,2025-10-15 17:21:00,46.385954,-62.1639002,-70.8184825,-62.1615042,-62.1639002,-70.8184825,-62.1615042,7.759336506126906,38.8982458671601
1760541660.082967,2025-10-15 17:21:00,46.409461,-62.1639002,-77.8930282,-62.1615042,-62.1639002,-77.8930282,-62.1615042,7.764697791237409,38.901245572761574
1760541660.098972,2025-10-15 17:21:00,46.425466,-62.1317844,-77.8930282,-62.1615042,-62.1317844,-77.8930282,-62.1615042,7.76829988445722,38.903259825604934
1760541660.104498,2025-10-15 17:21:00,46.430992,-62.1317844,-77.8930282,-62.1381327,-62.1317844,-77.8930282,-62.1381327,7.769532356330583,38.90394879653284
1760541660.146501,2025-10-15 17:21:00,46.472996,-62.1317844,-65.8802604,-62.1381327,-62.1317844,-65.8802604,-62.1381327,7.778874357728232,38.90916756938817
1760541660.149502,2025-10-15 17:21:00,46.475996,-62.1314368,-65.8802604,-62.1381327,-62.1314368,-65.8802604,-62.1381327,7.779525930562382,38.90953132720561
1760541660.154502,2025-10-15 17:21:00,46.480997,-62.1314368,-65.8802604,-62.1381272,-62.1314368,-65.8802604,-62.1381272,7.780609893036284,38.91013641051222
1760541660.190032,2025-10-15 17:21:00,46.516526,-62.1314368,-69.7012817,-62.1381272,-62.1314368,-69.7012817,-62.1381272,7.788291993840223,38.91442225454101
1760541660.196032,2025-10-15 17:21:00,46.522527,-62.1438713,-69.7012817,-62.1381272,-62.1438713,-69.7012817,-62.1381272,7.7895633740806725,38.91513114984272
1760541660.199030,2025-10-15 17:21:00,46.525524,-62.1438713,-69.7012817,-62.1040208,-62.1438713,-69.7012817,-62.1040208,7.790196443710525,38.915484093213195
1760541660.234366,2025-10-15 17:21:00,46.560860,-62.1438713,-67.9984947,-62.1040208,-62.1438713,-67.9984947,-62.1040208,7.797647539967074,38.919636008305744
1760541660.251363,2025-10-15 17:21:00,46.577857,-62.137459,-67.9984947,-62.1040208,-62.137459,-67.9984947,-62.1040208,7.801160463413713,38.92159211071265
1760541660.258363,2025-10-15 17:21:00,46.584857,-62.137459,-67.9984947,-62.1082775,-62.137459,-67.9984947,-62.1082775,7.802593368975859,38.92238974311209
1760541660.291961,2025-10-15 17:21:00,46.618455,-62.137459,-66.5353672,-62.1082775,-62.137459,-66.5353672,-62.1082775,7.809445216800326,38.926201826813674
1760541660.297961,2025-10-15 17:21:00,46.624456,-62.1555184,-66.5353672,-62.115588,-62.1555184,-66.5353672,-62.115588,7.810645743050482,38.926869405418934
1760541660.342473,2025-10-15 17:21:00,46.668967,-62.1555184,-66.6731844,-62.115588,-62.1555184,-66.6731844,-62.115588,7.8195234492727925,38.93180286351715
1760541660.348472,2025-10-15 17:21:00,46.674966,-62.1691554,-66.6731844,-62.115588,-62.1691554,-66.6731844,-62.115588,7.820689926766859,38.93245067403954
1760541660.351472,2025-10-15 17:21:00,46.677967,-62.1691554,-66.6731844,-62.1125715,-62.1691554,-66.6731844,-62.1125715,7.821271312846818,38.93277351433129
1760541660.389072,2025-10-15 17:21:00,46.715566,-62.1514851,-66.8053272,-62.1125715,-62.1514851,-66.8053272,-62.1125715,7.828546677402592,38.936811453826806
1760541660.392068,2025-10-15 17:21:00,46.718563,-62.1514851,-66.8053272,-62.123687,-62.1514851,-66.8053272,-62.123687,7.829114106031292,38.9371262276948
1760541660.439577,2025-10-15 17:21:00,46.766071,-62.1514851,-66.8082672,-62.123687,-62.1514851,-66.8082672,-62.123687,7.838098699270933,38.94210727919687
1760541660.442577,2025-10-15 17:21:00,46.769071,-62.133154,-66.8082672,-62.1176574,-62.133154,-66.8082672,-62.1176574,7.838650806482664,38.94241318076847
1760541660.486168,2025-10-15 17:21:00,46.812662,-62.1063162,-66.3930373,-62.1176574,-62.1063162,-66.3930373,-62.1176574,7.846661482197394,38.9468491683952
1760541660.492172,2025-10-15 17:21:00,46.818667,-62.1063162,-66.3930373,-62.1158642,-62.1063162,-66.3930373,-62.1158642,7.847737745109764,38.94744481406202
1760541660.528683,2025-10-15 17:21:00,46.855178,-62.1063162,-66.783652,-62.1158642,-62.1063162,-66.783652,-62.1158642,7.854261141079153,38.95105336741411
1760541660.531681,2025-10-15 17:21:00,46.858175,-62.1097862,-66.783652,-62.1158642,-62.1097862,-66.783652,-62.1158642,7.854785577582431,38.95134334029871
1760541660.551683,2025-10-15 17:21:00,46.878178,-62.1097862,-66.783652,-62.1275359,-62.1097862,-66.783652,-62.1275359,7.858280038432648,38.95327501312002
1760541660.573685,2025-10-15 17:21:00,46.900179,-62.1097862,-66.4107123,-62.1275359,-62.1097862,-66.4107123,-62.1275359,7.86208063027569,38.95537493453066
1760541660.581681,2025-10-15 17:21:00,46.908176,-62.0886937,-66.4107123,-62.1275359,-62.0886937,-66.4107123,-62.1275359,7.863444862452075,38.95612845912098
1760541660.613739,2025-10-15 17:21:00,46.940233,-62.0886937,-66.4107123,-62.1552126,-62.0886937,-66.4107123,-62.1552126,7.868889881560817,38.959134677696525
1760541660.625737,2025-10-15 17:21:00,46.952232,-62.0886937,-66.3575062,-62.1552126,-62.0886937,-66.3575062,-62.1552126,7.870891059200518,38.9602390137914
1760541660.635738,2025-10-15 17:21:00,46.962233,-61.2261275,-66.3575062,-62.1552126,-61.2261275,-66.3575062,-62.1552126,7.87254776797844,38.96115304469777
1760541660.659738,2025-10-15 17:21:00,46.986232,-61.2261275,-66.3575062,-62.1395567,-61.2261275,-66.3575062,-62.1395567,7.876501334327995,38.96333350914913
1760541660.673738,2025-10-15 17:21:00,47.000233,-61.2261275,-66.8181172,-62.1395567,-61.2261275,-66.8181172,-62.1395567,7.878776604312141,38.96458786620925
1760541660.681737,2025-10-15 17:21:00,47.008231,-61.6979429,-66.8181172,-62.1395567,-61.6979429,-66.8181172,-62.1395567,7.880066128462702,38.96529862046147
1760541660.708812,2025-10-15 17:21:00,47.035307,-61.6979429,-66.8181172,-62.15819,-61.6979429,-66.8181172,-62.15819,7.884412227702073,38.96769322803762
1760541660.722813,2025-10-15 17:21:00,47.049308,-61.6979429,-66.9220024,-62.15819,-61.6979429,-66.9220024,-62.15819,7.886625323714211,38.96891208937019
1760541660.731813,2025-10-15 17:21:00,47.058308,-61.5697246,-66.9220024,-62.15819,-61.5697246,-66.9220024,-62.15819,7.88803665956122,38.96968920316541
1760541660.757815,2025-10-15 17:21:00,47.084310,-61.5697246,-66.9220024,-62.1585594,-61.5697246,-66.9220024,-62.1585594,7.892093991970682,38.97192248900368
1760541660.773812,2025-10-15 17:21:00,47.100306,-61.5697246,-66.7254029,-62.1585594,-61.5697246,-66.7254029,-62.1585594,7.894553448853192,38.973275694065364
1760541660.798371,2025-10-15 17:21:00,47.124866,-61.8707313,-66.7254029,-62.1585594,-61.8707313,-66.7254029,-62.1585594,7.898295672524572,38.97533387509205
1760541660.803882,2025-10-15 17:21:00,47.130376,-61.8707313,-66.7254029,-62.1663184,-61.8707313,-66.7254029,-62.1663184,7.899123631776087,38.97578911164376
1760541660.823883,2025-10-15 17:21:00,47.150378,-61.8707313,-77.2078511,-62.1663184,-61.8707313,-77.2078511,-62.1663184,7.902119890089222,38.97743614463271
1760541660.851883,2025-10-15 17:21:00,47.178378,-61.8885728,-77.2078511,-62.1663184,-61.8885728,-77.2078511,-62.1663184,7.906267256037399,38.97971490738112
1760541660.857884,2025-10-15 17:21:00,47.184378,-61.8885728,-77.2078511,-62.151083,-61.8885728,-77.2078511,-62.151083,7.9071420024391355,38.980195382564574
