time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_ref_W,sim_ref_dBm,sim_fwd_W,sim_fwd_dBm,sim_tx_W,sim_tx_dBm
1760697366.304512,2025-10-17 12:36:06,39.716260,,-66.3490908,,,-66.3490908,,0.007549752159156001,8.779326949831436,10.000000000000002,40.0,0.6305342337015768,27.997086707728286
1760697366.306512,2025-10-17 12:36:06,39.718260,-62.0532501,-66.3490908,,-62.0532501,-66.3490908,,0.007537424601553005,8.77222980830695,10.000000000000002,40.0,0.6305633342921029,27.997287139894816
1760697366.313512,2025-10-17 12:36:06,39.725260,-62.0532501,-66.3490908,-62.2730263,-62.0532501,-66.3490908,-62.2730263,0.007494388206436513,8.747361856281476,10.000000000000002,40.0,0.6306651188516615,27.997988114766496
1760697366.356089,2025-10-17 12:36:06,39.767837,-62.0532501,-66.6333046,-62.2730263,-62.0532501,-66.6333046,-62.2730263,0.007236018066196863,8.594996424939968,10.000000000000002,40.0,0.6312826042627405,28.00223821995196
1760697366.359089,2025-10-17 12:36:06,39.770838,-62.0492963,-66.6333046,-62.2730263,-62.0492963,-66.6333046,-62.2730263,0.007218295952835831,8.584346843248412,10.000000000000002,40.0,0.6313253709374764,28.002532425773865
1760697366.365089,2025-10-17 12:36:06,39.776837,-62.0492963,-66.6333046,-62.2658363,-62.0492963,-66.6333046,-62.2658363,0.007182964416736928,8.563037150128512,10.000000000000002,40.0,0.6314107936336312,28.003120016541704
1760697366.403602,2025-10-17 12:36:06,39.815350,-62.0492963,-67.230604,-62.2658363,-62.0492963,-67.230604,-62.2658363,0.006958781766709873,8.425332168657857,10.000000000000002,40.0,0.6319579148313531,28.00688157451548
1760697366.409604,2025-10-17 12:36:06,39.821352,-62.0456596,-67.230604,-62.2984818,-62.0456596,-67.230604,-62.2984818,0.0069247069612627405,8.404013997149221,10.000000000000002,40.0,0.6320418632026996,28.00745844668156
1760697366.454175,2025-10-17 12:36:06,39.865923,-62.0456596,-71.3454566,-62.2984818,-62.0456596,-71.3454566,-62.2984818,0.006674900827064184,8.244448175154538,10.000000000000002,40.0,0.6326638874722476,28.011730455874417
1760697366.460176,2025-10-17 12:36:06,39.871924,-62.0740883,-71.3454566,-62.2814617,-62.0740883,-71.3454566,-62.2814617,0.006642221277590873,8.223133395002385,10.000000000000002,40.0,0.6327461384752131,28.012295034248805
1760697366.504692,2025-10-17 12:36:06,39.916440,-62.0740883,-78.074849,-62.2814617,-62.0740883,-78.074849,-62.2814617,0.006402899075276607,8.063766563773619,10.000000000000002,40.0,0.6333549260273706,28.016471526984535
1760697366.508692,2025-10-17 12:36:06,39.920440,-62.074972,-78.074849,-62.2814617,-62.074972,-78.074849,-62.2814617,0.006381995274240284,8.049564782698816,10.000000000000002,40.0,0.6334086513448762,28.016839908415164
1760697366.511692,2025-10-17 12:36:06,39.923440,-62.074972,-78.074849,-62.277876,-62.074972,-78.074849,-62.277876,0.006366367275787547,8.038916894604213,10.000000000000002,40.0,0.6334488762007582,28.01711570001084
1760697366.556236,2025-10-17 12:36:06,39.967984,-62.074972,-68.0182282,-62.277876,-62.074972,-68.0182282,-62.277876,0.006136838145045313,7.8794466921180515,10.000000000000002,40.0,0.6340455992615625,28.021204925750204
1760697366.560237,2025-10-17 12:36:06,39.971986,-62.0681871,-68.0182282,-62.277876,-62.0681871,-68.0182282,-62.277876,0.006116795804838337,7.865239828172189,10.000000000000002,40.0,0.6340982439734025,28.021565504843636
1760697366.563237,2025-10-17 12:36:06,39.974985,-62.0681871,-68.0182282,-62.2586702,-62.0681871,-68.0182282,-62.2586702,0.00610181959671912,7.854593633674188,10.000000000000002,40.0,0.6341376393575447,28.021835315817697
1760697366.607751,2025-10-17 12:36:06,40.019500,-62.0681871,-67.5682927,-62.2586702,-62.0681871,-67.5682927,-62.2586702,0.0058819729753245105,7.695230248132809,10.000000000000002,40.0,0.6347217593032717,28.025833868965297
1760697366.610751,2025-10-17 12:36:06,40.022499,-62.068421,-67.5682927,-62.2603688,-62.068421,-67.5682927,-62.2603688,0.005867570557407324,7.6845832068365425,10.000000000000002,40.0,0.6347604131452256,28.02609834137199
1760697366.672300,2025-10-17 12:36:06,40.084048,-62.068421,-68.6566672,-62.2603688,-62.068421,-68.6566672,-62.2603688,0.005576290460234739,7.4634538739837275,10.000000000000002,40.0,0.635552858764529,28.03151676550287
1760697366.676300,2025-10-17 12:36:06,40.088048,-62.0594521,-68.6566672,-62.2726773,-62.0594521,-68.6566672,-62.2726773,0.005558088573967898,7.449254634343344,10.000000000000002,40.0,0.6356030742106714,28.031859890852193
1760697366.685300,2025-10-17 12:36:06,40.097048,-62.0594521,-68.7600163,-62.2726773,-62.0594521,-68.7600163,-62.2726773,0.005517304056285007,7.417269184018384,10.000000000000002,40.0,0.6357158973384038,28.032630719621846
1760697366.700304,2025-10-17 12:36:06,40.112052,-62.0387411,-68.7600163,-62.2726773,-62.0387411,-68.7600163,-62.2726773,0.0054498933169854265,7.363880009375563,10.000000000000002,40.0,0.6359033174626975,28.03391090673164
1760697366.709814,2025-10-17 12:36:06,40.121562,-62.0387411,-68.7600163,-62.2971901,-62.0387411,-68.7600163,-62.2971901,0.005407642170449598,7.3300794614720886,10.000000000000002,40.0,0.6360213926828984,28.034717234595565
1760697366.736818,2025-10-17 12:36:06,40.148566,-62.0387411,-69.4245424,-62.2971901,-62.0387411,-69.4245424,-62.2971901,0.00528902114527762,7.233753033129968,10.000000000000002,40.0,0.6363554388010132,28.036997602888068
1760697366.745816,2025-10-17 12:36:06,40.157564,-62.0362657,-69.4245424,-62.2971901,-62.0362657,-69.4245424,-62.2971901,0.005250220244703459,7.201775222732124,10.000000000000002,40.0,0.6364655359055352,28.037748919310985
1760697366.758372,2025-10-17 12:36:06,40.170120,-62.0362657,-69.4245424,-62.312619,-62.0362657,-69.4245424,-62.312619,0.005196513170230158,7.157120323152519,10.000000000000002,40.0,0.6366186184248387,28.03879335763038
1760697366.789387,2025-10-17 12:36:06,40.201135,-62.0431238,-69.4662924,-62.2854799,-62.0431238,-69.4662924,-62.2854799,0.005065701461191294,7.046395917755625,10.000000000000002,40.0,0.6369948957856786,28.04135952365185
1760697366.840896,2025-10-17 12:36:06,40.252644,-62.036785,-72.4345836,-62.2856077,-62.036785,-72.4345836,-62.2856077,0.004854811036311193,6.8617233053971205,10.000000000000002,40.0,0.6376121397579191,28.045565771767723
